frame,timestamp,vehicles_detected,vehicles_standard,vehicles_enhanced,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_1_method,space_2_method,space_3_method,space_4_method,space_5_method,space_6_method,space_7_method,space_8_method,space_9_method,space_10_method,space_11_method,space_12_method,space_13_method,space_14_method,space_15_method,space_16_method,space_17_method,space_18_method
61,2.03,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
62,2.07,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
63,2.1,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
64,2.13,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
65,2.17,10,7,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
66,2.2,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
67,2.23,10,7,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
68,2.27,10,8,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
69,2.3,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
70,2.33,9,8,1,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
