# Parking Detection Results
# Method: YOLO Object Detection
# Attribution: YOLOv5/v8 by Ultralytics, COCO Dataset by Microsoft
# Generated on: 2025-08-30 16:52:50
#
timestamp,frame,vehicles_detected,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_19,space_20,space_21,space_22
2.2666666666666666,68,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.3,69,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.3333333333333335,70,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.3666666666666667,71,7,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.4,72,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.433333333333333,73,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.466666666666667,74,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.5,75,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.533333333333333,76,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.566666666666667,77,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.6,78,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.6333333333333333,79,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.6666666666666665,80,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.7,81,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.7333333333333334,82,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.7666666666666666,83,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.8,84,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.8333333333333335,85,7,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.8666666666666667,86,7,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.9,87,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.933333333333333,88,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
2.966666666666667,89,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
3.0,90,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
3.033333333333333,91,8,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
3.066666666666667,92,6,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
3.1,93,6,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
3.1333333333333333,94,7,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
